,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
1329,Red,Devin Clark,William Knight,177.8,185.42,205,182.88,190.5,205,32,34,-5.08,-5.08,2,KO/TKO,1.0,1.0,0.0
1331,Red,Drakkar Klose,Brandon Jenkins,182.88,180.34,155,175.26,177.8,155,34,30,7.62,2.54,-4,KO/TKO,0.0,0.0,1.0
1332,Red,Rafa Garcia,Jesse Ronson,177.8,177.8,155,170.18,177.8,155,27,36,7.62,0.0,9,SUB,0.0,,0.0
1334,Red,Jordan Leavitt,Trey Ogden,180.34,182.88,155,175.26,180.34,155,26,32,5.08,2.54,6,S-DEC,0.0,0.0,0.0
1336,Red,Alatengheili,Kevin Croom,180.34,185.42,135,165.1,167.64,135,30,34,15.24,17.78,4,KO/TKO,0.0,0.0,0.0
1337,Red,Alexander Volkanovski,Chan Sung Jung,170.18,182.88,145,167.64,180.34,145,33,35,2.54,2.54,2,KO/TKO,0.0,0.0,0.0
1338,Red,Aljamain Sterling,Petr Yan,170.18,170.18,135,170.18,180.34,145,32,29,0.0,-10.16,-3,S-DEC,,1.0,1.0
1340,Red,Mackenzie Dern,Tecia Torres,154.94,152.4,115,162.56,160.02,115,29,32,-7.62,-7.62,3,S-DEC,1.0,1.0,0.0
1342,Red,Ian Garry,Darian Weeks,180.34,182.88,170,190.5,187.96,170,24,28,-10.16,-5.08,4,U-DEC,1.0,1.0,0.0
1343,Red,Anthony Hernandez,Josh Fremd,193.04,193.04,185,182.88,190.5,185,28,28,10.16,2.54,0,U-DEC,0.0,0.0,
1346,Red,Aleksei Oleinik,Jared Vanderaa,193.04,203.2,265,187.96,203.2,240,44,29,5.08,0.0,-15,SUB,0.0,,1.0
1347,Red,Piera Rodriguez,Kay Hansen,157.48,160.02,115,160.02,160.02,115,29,22,-2.54,0.0,-7,U-DEC,1.0,,1.0
1348,Red,Julio Arce,Daniel Santos,170.18,170.18,135,170.18,177.8,145,32,27,0.0,-7.62,-5,U-DEC,,1.0,1.0
1349,Red,Curtis Blaydes,Chris Daukaus,190.5,193.04,205,193.04,203.2,265,31,32,-2.54,-10.16,1,KO/TKO,1.0,1.0,0.0
1353,Red,Neil Magny,Max Griffin,180.34,193.04,170,190.5,203.2,170,34,36,-10.16,-10.16,2,S-DEC,1.0,1.0,0.0
1354,Red,Marc Diakiese,Viacheslav Borshchev,180.34,175.26,155,177.8,185.42,155,29,30,2.54,-10.16,1,U-DEC,0.0,1.0,0.0
1355,Red,Sara McMann,Karol Rosa,165.1,170.18,135,167.64,167.64,135,41,27,-2.54,2.54,-14,U-DEC,1.0,0.0,1.0
1356,Red,Chris Gutierrez,Batgerel Danaa,170.18,177.8,135,175.26,170.18,135,30,32,-5.08,7.62,2,KO/TKO,1.0,0.0,0.0
1357,Red,Aliaskhab Khizriev,Denis Tiuliulin,185.42,195.58,185,175.26,187.96,185,31,33,10.16,7.62,2,SUB,0.0,0.0,0.0
1359,Red,Matheus Nicolau,David Dvorak,165.1,172.72,125,167.64,167.64,125,29,29,-2.54,5.08,0,U-DEC,1.0,0.0,
1360,Red,Luis Saldana,Bruno Souza,177.8,177.8,145,180.34,185.42,145,31,26,-2.54,-7.62,-5,U-DEC,1.0,1.0,1.0
1362,Red,Arnold Allen,Dan Hooker,182.88,190.5,155,172.72,177.8,145,28,32,10.16,12.7,4,KO/TKO,0.0,0.0,0.0
1363,Red,Paddy Pimblett,Kazula Vargas,172.72,180.34,155,177.8,185.42,155,27,36,-5.08,-5.08,9,SUB,1.0,1.0,0.0
1364,Red,Gunnar Nelson,Takashi Sato,177.8,185.42,170,180.34,182.88,170,33,31,-2.54,2.54,-2,U-DEC,1.0,0.0,1.0
1365,Red,Molly McCann,Luana Carolina,167.64,175.26,125,162.56,157.48,115,31,28,5.08,17.78,-3,KO/TKO,0.0,0.0,1.0
1370,Red,Jack Shore,Timur Valiev,167.64,170.18,135,172.72,180.34,145,27,32,-5.08,-10.16,5,U-DEC,1.0,1.0,0.0
1372,Red,Muhammad Mokaev,Cody Durden,170.18,170.18,125,170.18,177.8,125,21,30,0.0,-7.62,9,SUB,,1.0,0.0
